x,y,arg
14.983686,25.931921,0
22.643232,8.514716,0
8.510469,-10.990272,2
9.330711,8.061952,0
15.78813,17.5322,0
26.635765,8.889192,0
13.25397,-6.626841,2
2.598609,2.1818144,0
-1.6586028,26.086079,1
-1.8512123,19.337988,1
-14.550778,1.7537407,1
-10.762661,5.688901,1
-1.3118336,12.30401,1
-4.081149,-4.9783974,2
5.278659,6.139657,0
9.264524,10.272873,0
18.207756,4.9729195,2
6.57381,0.0788944,0
-5.3640976,15.693199,1
-0.36036643,3.746896,2
2.4417725,2.8168879,0
-1.4990146,10.785017,2
5.684927,12.733421,0
12.721017,7.768821,0
16.37165,-4.8083725,2
-2.6220562,4.7062755,2
5.3632936,19.067072,0
11.243377,6.5849113,0
13.4654455,1.0249183,0
28.148603,0.6776803,0
5.040012,2.9912689,2
3.7084923,-2.1435037,0
20.370523,11.323231,0
21.282925,3.8437335,0
6.8717,-13.387363,2
6.6190243,7.0310516,0
17.84323,16.57322,2
5.452862,24.015604,2
1.3152934,16.774113,1
-4.6536164,10.656314,1
-13.141355,-4.3579245,1
0.13854896,-2.8980923,1
0.7058712,4.9340262,2
4.739523,-8.494542,0
4.8060055,8.850597,1
4.716706,7.80614,2
4.7482724,-1.3528507,1
6.384027,21.870123,0
23.08016,6.6747403,0
1.8415564,19.333288,0
12.489455,3.5740767,0
13.034582,-2.5344446,0
10.784404,-5.8161254,2
7.826176,4.5550566,0
0.74142957,18.722197,1
-3.0616705,9.917648,1
1.4060553,-10.626578,1
1.690948,1.6432102,1
0.18023656,5.587229,2
-0.6694134,7.85416,1
-2.8271198,20.181408,1
0.06936442,9.565248,1
-9.427683,5.7280617,1
-11.071464,4.1042857,1
0.32200146,2.5462866,1
-2.211034,8.052248,2
-1.6380098,2.9918706,2
8.0421295,27.061253,0
22.432087,12.349594,0
25.400599,-2.736304,0
7.9987855,-2.9289029,0
5.5829654,-16.075712,2
10.136525,-1.1511221,0
7.0655103,19.652414,0
26.943684,12.525275,0
11.007512,-13.065155,0
8.259981,-9.191883,2
5.826436,-5.4808593,0
-8.438498,20.597824,1
-14.720295,11.136914,1
-13.172133,-4.3856874,1
-0.10523334,-3.048921,1
0.29049703,5.2678294,2
4.9850974,-8.176843,2
8.296231,10.1579895,0
17.908081,3.5071986,0
8.572276,-14.326772,2
9.227446,7.913623,0
14.492016,10.37753,2
9.172073,14.959034,0
24.839403,15.829751,0
27.943375,5.948306,0
12.285478,-14.567928,2
15.140011,7.7546268,0
6.8439465,15.442376,0
10.628522,18.011477,0
16.379492,2.7672777,0
14.934623,-6.433046,0
17.26453,9.756969,0
12.534336,-4.3162,0
2.437458,0.87381107,2
-5.6548615,5.045102,0
12.386789,23.279776,0
20.976381,-10.794311,0
23.013655,-7.132322,0
12.147323,-3.0610883,0
14.273485,4.8278875,2
5.698069,-11.418625,0
15.146412,26.090868,0
24.989162,9.031319,0
13.833591,-17.552591,2
16.206762,12.678934,0
